DateID,spx,dji,ixic,vix
20080102,0.000111991,9.21E-05,0.000154013,23.17000008
20080103,5.20E-05,5.43E-05,8.03E-05,22.48999977
20080104,0.000138146,0.000122998,0.00016839,23.94000053
20080107,0.000197098,0.000143602,0.000362633,23.79000092
20080108,0.000198018,0.000143679,0.000289106,25.43000031
20080109,0.000239786,0.000176826,0.000354348,24.12000084
20080110,0.000327495,0.000273661,0.000345372,23.45000076
20080111,0.00019103,0.000181824,0.000163953,23.68000031
20080114,7.25E-05,0.000146015,8.37E-05,22.89999962
20080115,0.000142822,0.000197731,0.000139481,23.34000015
20080116,0.000254492,0.000182805,0.000330818,24.37999916
20080117,0.000274707,0.000232939,0.000279812,28.45999908
20080118,0.000370756,0.000371302,0.000327672,27.18000031
20080122,0.001285916,0.001496921,0.000792457,31.01000023
20080123,0.001035076,0.000871389,0.000692856,29.02000046
20080124,0.000240772,0.000214261,0.000256227,27.78000069
20080125,0.000278823,0.000241484,0.000250033,29.07999992
20080128,0.000205653,0.000183289,0.00020607,27.78000069
20080129,8.38E-05,8.97E-05,0.000102455,27.31999969
20080130,0.000304795,0.000260349,0.000283374,27.62000084
20080131,0.000423482,0.000425516,0.00025238,26.20000076
20080201,0.000149382,0.000141055,0.00018003,24.02000046
20080204,7.19E-05,6.99E-05,7.10E-05,25.98999977
20080205,0.000274736,0.000213537,0.000117639,28.23999977
20080206,0.000147626,0.000155653,0.000177821,28.96999931
20080207,0.000317678,0.000228401,0.000388195,27.65999985
20080208,0.000151764,0.000136914,0.000194448,28.01000023
20080211,0.000102683,0.000104972,9.63E-05,27.60000038
20080212,0.000151021,0.000118706,0.000119912,26.32999992
20080213,0.000104356,0.000119755,8.13E-05,24.87999916
20080214,0.000102876,8.43E-05,0.000131922,25.54000092
20080215,7.53E-05,7.20E-05,7.29E-05,25.02000046
20080219,0.000125171,0.000185145,0.000101085,25.59000015
20080220,0.000164959,0.000156749,0.000139853,24.39999962
20080221,0.000106431,0.000104261,0.000114462,25.12000084
20080222,0.000171369,0.000154631,0.000161235,24.05999947
20080225,0.000184426,0.000155015,0.000171455,23.03000069
20080226,0.000110185,0.000113235,0.000177111,21.89999962
20080227,0.000111676,0.000110156,0.000139303,22.69000053
20080228,9.90E-05,0.00011023,9.81E-05,23.53000069
20080229,0.000137313,0.000181976,0.000111995,26.54000092
20080303,0.000122475,0.000107963,0.000142023,26.28000069
20080304,0.000233463,0.000216549,0.00024094,25.52000046
20080305,0.000176465,0.000157575,0.00016008,24.60000038
20080306,0.000133462,0.000130364,0.00011735,27.54999924
20080307,0.000273373,0.000255633,0.000289646,27.48999977
20080310,0.000156562,0.000134584,0.000128328,29.37999916
20080311,0.000416079,0.000465631,0.000195373,26.36000061
20080312,0.000152753,0.000123698,0.000145647,27.21999931
20080313,0.000389496,0.000370932,0.000324119,27.29000092
20080314,0.000733159,0.000516146,0.000739969,31.15999985
20080317,0.00050164,0.000502742,0.000337373,32.24000168
20080318,0.000468919,0.000455401,0.000267617,25.79000092
20080319,0.000256033,0.00018339,0.000237632,29.84000015
20080320,0.000154815,0.000144774,0.000135313,26.62000084
20080324,9.21E-05,7.62E-05,0.000117594,25.72999954
20080325,9.71E-05,8.03E-05,0.000131017,25.71999931
20080326,9.08E-05,9.22E-05,8.39E-05,26.07999992
20080327,0.000132898,0.000118281,0.000132416,25.87999916
20080328,7.35E-05,8.41E-05,8.24E-05,25.70999908
20080331,9.16E-05,7.86E-05,0.000114877,25.61000061
20080401,0.000158585,0.000158329,9.08E-05,22.68000031
20080402,8.04E-05,6.72E-05,9.50E-05,23.43000031
20080403,7.59E-05,7.43E-05,0.000100898,23.20999908
20080404,7.41E-05,7.28E-05,9.55E-05,22.45000076
20080407,6.49E-05,8.52E-05,6.46E-05,22.42000008
20080408,6.31E-05,7.04E-05,5.45E-05,22.36000061
20080409,5.52E-05,5.62E-05,8.42E-05,22.80999947
20080410,6.80E-05,6.39E-05,0.000102792,21.97999954
20080411,0.000115271,0.000138586,7.04E-05,23.45999908
20080414,4.70E-05,4.47E-05,6.79E-05,23.81999969
20080415,6.00E-05,7.35E-05,6.27E-05,22.78000069
20080416,0.000105775,0.000100045,6.99E-05,20.53000069
20080417,5.41E-05,5.75E-05,5.76E-05,20.37000084
20080418,0.000176701,0.00017177,5.50E-05,20.12999916
20080421,3.15E-05,5.70E-05,3.56E-05,20.5
20080422,5.87E-05,5.77E-05,7.49E-05,20.87000084
20080423,6.76E-05,6.54E-05,7.71E-05,20.26000023
20080424,9.99E-05,9.06E-05,0.000129995,20.05999947
20080425,8.25E-05,8.50E-05,9.09E-05,19.59000015
20080428,3.98E-05,3.44E-05,4.72E-05,19.63999939
20080429,3.43E-05,3.57E-05,5.03E-05,20.23999977
20080430,9.45E-05,9.73E-05,0.000108841,20.79000092
20080501,6.41E-05,5.30E-05,9.49E-05,18.87999916
20080502,0.00010926,0.000126046,9.83E-05,18.18000031
20080505,4.38E-05,4.31E-05,7.15E-05,18.89999962
20080506,6.23E-05,6.20E-05,6.50E-05,18.20999908
20080507,7.02E-05,5.57E-05,9.38E-05,19.72999954
20080508,6.90E-05,6.52E-05,9.51E-05,19.39999962
20080509,7.15E-05,0.000116906,5.09E-05,19.40999985
20080512,3.80E-05,3.94E-05,6.36E-05,17.79000092
20080513,2.95E-05,3.13E-05,4.85E-05,17.97999954
20080514,3.57E-05,3.91E-05,5.59E-05,17.65999985
20080515,4.09E-05,4.49E-05,6.37E-05,16.29999924
20080519,5.47E-05,4.36E-05,0.000103975,17.01000023
20080520,5.75E-05,8.29E-05,8.89E-05,17.57999992
20080521,8.43E-05,9.05E-05,0.000145327,18.59000015
20080522,4.32E-05,4.44E-05,0.000105299,18.04999924
20080523,6.68E-05,6.08E-05,8.62E-05,19.54999924
20080527,4.84E-05,5.02E-05,8.50E-05,19.63999939
20080528,5.27E-05,6.09E-05,6.91E-05,19.06999969
20080529,5.76E-05,6.12E-05,8.72E-05,18.13999939
20080530,3.23E-05,3.83E-05,3.99E-05,17.82999992
20080602,5.95E-05,5.21E-05,7.57E-05,19.82999992
20080603,8.62E-05,9.33E-05,0.00011617,20.23999977
20080604,9.10E-05,8.38E-05,0.000130348,20.79999924
20080605,7.28E-05,7.38E-05,7.70E-05,18.62999916
20080609,0.000115369,0.00012728,0.000216926,23.12000084
20080610,0.000125509,0.000126085,0.000152325,23.18000031
20080611,8.90E-05,0.000104862,0.000101095,24.12000084
20080612,0.000112028,0.000121379,0.000146934,23.32999992
20080613,0.000126821,0.000134567,0.000128976,21.21999931
20080616,6.49E-05,0.000104495,9.82E-05,20.95000076
20080617,6.00E-05,6.47E-05,7.29E-05,21.12999916
20080618,0.000101023,0.000101175,0.000103555,22.23999977
20080619,9.13E-05,0.000101097,0.000151399,21.57999992
20080620,0.000102563,0.000151167,0.000109808,22.87000084
20080623,5.43E-05,6.93E-05,9.77E-05,22.63999939
20080624,0.000103954,8.43E-05,0.000156806,22.42000008
20080625,0.000126091,9.98E-05,0.000166549,21.13999939
20080626,0.000129815,0.000172068,0.000117401,23.93000031
20080627,0.000122445,0.000123459,0.000212034,23.44000053
20080630,8.93E-05,9.23E-05,0.000120428,23.95000076
20080701,0.000210059,0.000268885,0.000241592,23.64999962
20080702,0.000115262,0.000111644,0.000151283,25.92000008
20080707,0.000236126,0.000207249,0.000252448,25.78000069
